,Open,High,Low,Close,Volume,rsi14,rsi20,sma20,sma30,sma50,Date,previous_rsi,next_rsi,rsi_touch_point,rsi_sell,rsi_buy
2014-03-19 15:30:00,1.39151,1.39208,1.39145,1.39193,1919.6600133180602,48.89255220789943,48.668349097370594,1.3919040000000014,1.3920156666666708,1.3921496000000002,735311.6458333334,43.2199356182473,46.45178969860694,0,0,0
2014-03-19 15:45:00,1.39193,1.39201,1.3912799999999999,1.39172,2477.14001750946,46.45178969860694,46.84840039306321,1.3919190000000012,1.3919963333333376,1.3921268000000004,735311.65625,48.89255220789943,37.6748825543123,0,0,0
2014-03-19 16:00:00,1.39172,1.3918,1.3901700000000001,1.39081,3221.5600209236104,37.6748825543123,40.02175755139001,1.3918855000000012,1.3919366666666708,1.3920804000000004,735311.6666666666,46.45178969860694,34.23052363986925,0,0,0
2014-03-19 16:15:00,1.39081,1.3910799999999999,1.39035,1.39036,2541.6800149679198,34.23052363986925,37.200101607205525,1.3918220000000012,1.391867666666671,1.3920276000000005,735311.6770833334,37.6748825543123,34.37410692618976,0,0,0
2014-03-19 16:30:00,1.39038,1.39052,1.38992,1.39037,1942.54001379013,34.37410692618976,37.30350030677125,1.3917850000000012,1.391796666666671,1.3919758000000004,735311.6875,34.23052363986925,43.7617086213466,0,0,0
2014-03-19 16:45:00,1.39037,1.3913,1.3902700000000001,1.3910799999999999,1709.55000805855,43.7617086213466,44.17314170843595,1.391798000000001,1.3917546666666711,1.3919406000000003,735311.6979166666,34.37410692618976,41.003730438154875,0,0,0
2014-03-19 17:00:00,1.3910799999999999,1.3910799999999999,1.3906100000000001,1.39077,1873.47000980377,41.003730438154875,42.055310444381675,1.391754000000001,1.3917050000000046,1.3919090000000005,735311.7083333334,43.7617086213466,42.39113010776768,0,0,0
2014-03-19 17:15:00,1.39077,1.39089,1.39057,1.39088,1049.52000808716,42.39113010776768,43.07471291602006,1.3917135000000012,1.3916580000000045,1.3918762000000005,735311.71875,41.003730438154875,45.76269044362867,0,0,0
2014-03-19 17:30:00,1.39089,1.39123,1.39057,1.39115,1185.37000727654,45.76269044362867,45.549737370566575,1.3916625000000011,1.3916146666666716,1.3918498000000001,735311.7291666666,42.39113010776768,43.14415864831263,0,0,0
2014-03-19 17:45:00,1.39114,1.39149,1.39089,1.39089,2116.79001247883,43.14415864831263,43.62701854807544,1.391568500000001,1.3915846666666714,1.391818,735311.7395833334,45.76269044362867,44.20210929097621,0,0,0
