Date,Timestamp,Open,High,Low,Close,Volume
20141126,11:00:00,117.844,117.895,117.738,117.806,5115.68000006676
20141126,12:00:00,117.808,117.847,117.708,117.756,4212.58999991417
20141126,13:00:00,117.758,117.816,117.704,117.749,3493.00999987125
20141126,14:00:00,117.753,117.788,117.67,117.695,4604.25
20141126,15:00:00,117.696,117.818,117.587,117.722,7452.36999976635
20141126,16:00:00,117.722,117.76,117.554,117.643,6145.38999271393
20141126,17:00:00,117.638,117.643,117.438,117.536,7449.42998504639
20141126,18:00:00,117.537,117.642,117.526,117.597,5479.38999724388
20141126,19:00:00,117.599,117.69,117.586,117.669,2788.98999881744
20141126,20:00:00,117.668,117.839,117.639,117.787,2390.09999990463
20141126,21:00:00,117.787,117.809,117.702,117.714,1728.75
20141126,22:00:00,117.715,117.755,117.707,117.729,1907.75
20141126,23:00:00,117.728,117.754,117.684,117.724,1418.21000003815
20141127,00:00:00,117.723,117.735,117.556,117.595,2019.59001195431
20141127,01:00:00,117.592,117.676,117.591,117.621,2570.130002141
20141127,02:00:00,117.624,117.685,117.496,117.526,4545.13000464439
20141127,03:00:00,117.525,117.592,117.508,117.555,2445.98000669479
20141127,04:00:00,117.553,117.611,117.504,117.535,2890.1300047636
20141127,05:00:00,117.535,117.56,117.317,117.374,3602.7700047493
20141127,06:00:00,117.373,117.452,117.267,117.305,3909.33001029491
20141127,07:00:00,117.306,117.398,117.306,117.323,2854.85000693798
20141127,08:00:00,117.323,117.437,117.262,117.424,3050.52000522614
20141127,09:00:00,117.423,117.43,117.237,117.341,4005.96001386642
20141127,10:00:00,117.34,117.49,117.329,117.466,4682.12001180649
20141127,11:00:00,117.466,117.563,117.417,117.467,3638.61000680923
20141127,12:00:00,117.466,117.544,117.466,117.511,2338.01000452042
20141127,13:00:00,117.512,117.54,117.459,117.477,2460.44001102448
20141127,14:00:00,117.477,117.501,117.423,117.501,2043.17000722885
20141127,15:00:00,117.501,117.581,117.499,117.525,2759.21000742912
20141127,16:00:00,117.526,117.671,117.523,117.668,2796.2000105381
